"","x"
"1067","Matric"
"1068","No schooling"
"1069","No schooling"
"1070","No schooling"
"1071","Middle"
"1072","Middle"
"1073","No schooling"
"1074","Preschool/ Primary"
"1075","No schooling"
"1076","No schooling"
"1077","No schooling"
"1078","Middle"
"1079","Intermediate"
"1080","No schooling"
"1081","No schooling"
"1082","Middle"
"1083","No schooling"
"1084","No schooling"
"1085","Matric"
"1086","Middle"
"1087","No schooling"
"1088","Preschool/ Primary"
"1089","Preschool/ Primary"
"1090","Middle"
"1091","Preschool/ Primary"
"1092","Matric"
"1093","Preschool/ Primary"
"1094","No schooling"
"1095","Matric"
"1096","Middle"
"1097","No schooling"
"1098","Preschool/ Primary"
"1099","No schooling"
"1100","Graduation"
"1101","Matric"
"1102","Matric"
"1103","Middle"
"1104","No schooling"
"1105","Preschool/ Primary"
"1106","No schooling"
"1107","Matric"
"1108","No schooling"
"1109","Matric"
"1110","Middle"
"1111","No schooling"
"1112","Middle"
"1113","Middle"
"1114","Matric"
"1115","No schooling"
"1116","Matric"
"1117","Matric"
"1118","Preschool/ Primary"
"1119","No schooling"
"1120","No schooling"
"1121","No schooling"
"1122","No schooling"
"1123","No schooling"
"1124","Preschool/ Primary"
"1125","No schooling"
"1126","No schooling"
"1127","No schooling"
"1128","No schooling"
"1129","No schooling"
"1130","No schooling"
"1131","No schooling"
"1132","No schooling"
"1133","No schooling"
"1134","No schooling"
"1135","No schooling"
"1136","No schooling"
"1137","Matric"
"1138","Matric"
"1139","Preschool/ Primary"
"1140","Matric"
"1141","Matric"
"1142","No schooling"
"1143","Preschool/ Primary"
"1144","No schooling"
"1145","Preschool/ Primary"
"1146","Intermediate"
"1147","No schooling"
"1148","No schooling"
"1149","Preschool/ Primary"
"1150","Preschool/ Primary"
"1151","No schooling"
"1152","Preschool/ Primary"
"1153","Middle"
"1154","No schooling"
"1155","No schooling"
"1156","Matric"
"1157","Middle"
"1158","Preschool/ Primary"
"1159","Preschool/ Primary"
"1160","Preschool/ Primary"
"1161","No schooling"
"1162","Preschool/ Primary"
"1163","No schooling"
"1164","Matric"
"1165","Middle"
"1166","Preschool/ Primary"
"1167","No schooling"
"1168","No schooling"
"1169","Preschool/ Primary"
"1170","No schooling"
"1171","Preschool/ Primary"
"1172","Matric"
"1173","Matric"
"1174","Matric"
"1175","Masters or above"
"1176","Middle"
"1177","Matric"
"1178","No schooling"
"1179","No schooling"
"1180","Masters or above"
"1181","Matric"
"1182","Preschool/ Primary"
"1183","Middle"
"1184","No schooling"
"1185","Preschool/ Primary"
"1186","No schooling"
"1187","Preschool/ Primary"
"1188","Middle"
"1189","Preschool/ Primary"
"1190","Preschool/ Primary"
"1191","No schooling"
"1192","No schooling"
"1193","Preschool/ Primary"
"1194","Preschool/ Primary"
"1195","Preschool/ Primary"
"1196","No schooling"
"1197","Preschool/ Primary"
"1198","No schooling"
"1199","Preschool/ Primary"
"1200","Preschool/ Primary"
"1201","No schooling"
"1202","No schooling"
"1203","No schooling"
"1204","Preschool/ Primary"
"1205","No schooling"
"1206","No schooling"
"1207","Middle"
"1208","Matric"
"1209","Middle"
"1210","No schooling"
"1211","No schooling"
"1212","Preschool/ Primary"
"1213","No schooling"
"1214","No schooling"
"1215","No schooling"
"1216","Preschool/ Primary"
"1217","Preschool/ Primary"
"1218","No schooling"
"1219","No schooling"
"1220","No schooling"
"1221","Preschool/ Primary"
"1222","Preschool/ Primary"
"1223","Preschool/ Primary"
"1224","No schooling"
"1225","No schooling"
"1226","Preschool/ Primary"
"1227","No schooling"
"1228","Preschool/ Primary"
"1229","Preschool/ Primary"
"1230","Preschool/ Primary"
"1231","Preschool/ Primary"
"1232","Preschool/ Primary"
"1233","Preschool/ Primary"
"1234","No schooling"
"1235","No schooling"
"1236","No schooling"
"1237","Middle"
"1238","No schooling"
"1239","Preschool/ Primary"
"1240","Preschool/ Primary"
"1241","Preschool/ Primary"
"1242","No schooling"
"1243","Middle"
"1244","Preschool/ Primary"
"1245","No schooling"
"1246","Preschool/ Primary"
"1247","Matric"
"1248","Middle"
"1249","No schooling"
"1250","Preschool/ Primary"
